fare_id,route_id,origin_id,destination_id,contains_id
FREQUENT,001,,,
FREQUENT,002,,,
STANDARD,003,,,
STANDARD,004,,,
FREQUENT,005,,,
STANDARD,006,,,
FREQUENT,007,,,
FREQUENT,008,,,
STANDARD,009,,,
FREQUENT,010,,,
STANDARD,011,,,
STANDARD,012,,,
STANDARD,021,,,
STANDARD,022,,,
FREQUENT,023,,,
STANDARD,024,,,
STANDARD,025,,,
STANDARD,031,,,
STANDARD,032,,,
STANDARD,033,,,
FREQUENT,034,,,
FREQUENT,101,,,
STANDARD,102,,,




